corretos,incorretos,confianca_media_corretos,confianca_media_erroprecisao,perc_acertos,perc_erros,tempo_medio_classificacao,qntds_ids,qntds_img,tempo_medio_classificacao,tamanho_arquivo(kb)
551,508,1913.6,3545.24,0.5203,50.32,46.39,420, 1,82.7753, 260307.65
720,289,1197.78,2235.92,0.7136,65.75,26.39,420, 2,116.6348, 357814.12
821,141,851.6,1585.49,0.8534,74.98,12.88,420, 3,76.3342, 404012.23
814,106,632.21,1240.02,0.8848,74.34,9.68,420, 4,72.7024, 414846.59
795,77,496.94,1008.16,0.9117,72.6,7.03,420, 5,204.7118, 422906.91
763,67,402.9,845.4,0.9193,69.68,6.12,420, 6,162.1598, 426613.1
736,57,337.09,727.63,0.9281,67.21,5.21,420, 7,126.5102, 430324.39
712,45,285.84,647.56,0.9406,65.02,4.11,420, 8,101.7556, 434038.8
679,44,250.67,547.31,0.9391,62.01,4.02,420, 9,67.1431, 437750.94
639,37,222.24,478.8,0.9453,58.36,3.38,420, 10,58.9971, 441469.29
629,40,212.42,454.9,0.9402,57.44,3.65,420, 13,110.3111, 442641.97
629,40,212.42,454.9,0.9402,57.44,3.65,420, 12,64.9856, 442641.97
629,40,212.42,454.9,0.9402,57.44,3.65,420, 11,59.5065, 442641.97
629,40,212.42,454.9,0.9402,57.44,3.65,420, 14,61.0124, 442641.97
629,40,212.42,454.9,0.9402,57.44,3.65,420, 15,63.9408, 442641.97
