corretos,incorretos,confianca_media_corretos,confianca_media_erroprecisao,perc_acertos,perc_erros,tempo_medio_classificacao,qntds_ids,qntds_img,tempo_medio_classificacao,tamanho_arquivo(kb)
595,464,25.34,48.23,0.5619,54.34,42.37,420, 1,621.4002, 57379.49
806,203,24.27,46.31,0.7988,73.61,18.54,420, 2,948.4373, 114925.41
899,63,23.42,46.15,0.9345,82.1,5.75,420, 3,1193.0553, 172263.91
881,39,22.83,47.98,0.9576,80.46,3.56,420, 4,1330.7486, 229848.93
853,19,22.4,49.15,0.9782,77.9,1.74,420, 5,1499.8563, 287262.67
813,17,22.04,49.21,0.9795,74.25,1.55,420, 6,1798.4152, 344558.78
778,15,21.7,49.01,0.9811,71.05,1.37,420, 7,1926.0546, 401943.54
744,13,21.34,48.02,0.9828,67.95,1.19,420, 8,2106.1123, 459809.58
711,12,21.24,48.27,0.9834,64.93,1.1,420, 9,2262.1239, 517247.07
667,9,21.16,50.0,0.9867,60.91,0.82,420, 10,3720.0954, 574786.85
660,9,21.12,50.0,0.9865,60.27,0.82,420, 11,3793.1412, 593051.27
660,9,21.12,50.0,0.9865,60.27,0.82,420, 14,3794.516, 593051.27
660,9,21.12,50.0,0.9865,60.27,0.82,420, 15,3801.0064, 593051.27
660,9,21.12,50.0,0.9865,60.27,0.82,420, 12,3812.9799, 593051.27
660,9,21.12,50.0,0.9865,60.27,0.82,420, 13,3805.7352, 593051.27
