corretos,incorretos,confianca_media_corretos,confianca_media_erroprecisao,perc_acertos,perc_erros,tempo_medio_classificacao,qntds_ids,qntds_img,tempo_medio_classificacao,tamanho_arquivo(kb)
593,466,3087.05,6738.04,0.56,54.16,42.56,420, 1,260.1572, 592375.62
804,205,3008.39,6491.19,0.7968,73.42,18.72,420, 2,440.9991, 1194064.71
892,70,2833.36,6187.82,0.9272,81.46,6.39,420, 3,520.4943, 1806429.46
882,38,2715.94,6729.26,0.9587,80.55,3.47,420, 4,504.0505, 2429459.04
851,21,2591.02,6503.02,0.9759,77.72,1.92,420, 5,500.4622, 3063171.79
811,19,2500.89,6282.79,0.9771,74.06,1.74,420, 6,1200.8308, 3707586.19
779,14,2436.15,6532.05,0.9823,71.14,1.28,420, 7,1063.7034, 4362673.72
746,11,2339.7,6845.23,0.9855,68.13,1.0,420, 8,909.4852, 5028462.34
712,11,2315.67,6834.47,0.9848,65.02,1.0,420, 9,795.1774, 5704922.83
665,11,2259.54,6837.76,0.9837,60.73,1.0,420, 10,1541.9409, 6392044.88
658,11,2250.27,6838.82,0.9836,60.09,1.0,420, 12,943.1376, 6611904.44
658,11,2250.27,6838.82,0.9836,60.09,1.0,420, 11,873.9821, 6611904.44
658,11,2250.27,6838.82,0.9836,60.09,1.0,420, 14,1251.8677, 6611904.44
658,11,2250.27,6838.82,0.9836,60.09,1.0,420, 13,989.1404, 6611904.44
658,11,2250.27,6838.82,0.9836,60.09,1.0,420, 15,858.0609, 6611904.44
