QntsIndividuos,QntsImgsPorIndividuo,TamMedArquivoGerado,TempMedExecu��o
2,8,2799.047,68.14
3,8,2835.635,126.47
4,8,2850.346,201.62
5,8,2848.367,240.36
6,8,2858.963,332.43
7,8,2867.353,426.29
8,8,2873.765,582.16
9,8,2875.369,670.78
10,8,2874.649,772.25
11,8,2875.747,850.9
12,8,2882.014,1081.4
13,8,2880.269,1179.12
14,8,2884.098,1366.07
15,8,2888.212,1577.31
16,8,2883.809,1801.34
17,8,2893.242,2008.82
18,8,2891.037,2205.85
19,8,2892.226,3910.43
20,8,2892.416,3708.55
2,13,2830.447,161.17
3,13,2852.18,291.06
4,13,2867.107,502.93
5,13,2879.505,590.93
6,13,2873.077,835.69
7,13,2882.301,1101.43
8,13,2882.865,1484.45
9,13,2892.723,1843.43
10,13,2885.958,2264.95
11,13,2888.054,2705.24
12,13,2891.991,3049.72
13,13,2896.931,3620.1
14,13,2899.251,4010.41
15,13,2900.335,4071.53
16,13,2902.804,4474.94
17,13,2906.315,5016.52
18,13,2908.027,5733.72
19,13,2904.688,6318.7
20,13,2907.407,7064.92
2,15,2852.181,150.74
3,15,2849.864,297.78
4,15,2873.25,500.1
5,15,2868.956,620.43
6,15,2885.042,865.69
7,15,2888.705,1216.5
8,15,2887.726,1667.81
9,15,2890.407,2219.07
10,15,2888.826,2367.83
11,15,2891.117,2652.59
12,15,2898.975,3407.53
13,15,2899.828,31065.26
14,15,2901.996,4783.72
15,15,2900.064,5638.63
16,15,2906.365,6629.47
17,15,2905.916,7625.19
18,15,2908.555,8673.66
19,15,2912.506,10347.65
20,15,2912.684,11820.16
