QntsIndividuos,QntsImgsPorIndividuo,TamMedArquivoGerado,TempMedExecu��o
1,8,12827806,50.0
2,8,12970430,134.45
3,8,13011152,263.9
4,8,13046291,509.0
5,8,13004503,575.21
6,8,13064674,767.79
7,8,13030980,1026.6
8,8,13030827,1286.07
9,8,13081867,1281.07
10,8,13061691,1544.24
11,8,13063301,1828.04
12,8,13067647,2156.15
13,8,13071547,2834.66
14,8,13075362,3253.64
15,8,13081894,3666.76
16,8,13086408,4751.85
17,8,13088394,6417.14
18,8,13076685,7381.21
19,8,13077174,6549.64
20,8,13060414,7182.51
1,13,12953951,115.0
2,13,13001985,338.29
3,13,13028470,599.0
4,13,13059197,957.85
5,13,13021049,1252.33
6,13,13079164,1744.95
7,13,13045264,2202.03
8,13,13052748,3135.99
9,13,13098544,3523.05
10,13,13078075,5013.43
11,13,13087758,5996.47
12,13,13081476,6864.23
