QntsIndividuos;QntsImgsPorIndividuo;TamMedArquivoGerado;TempMedExecução
1;8;12827806;50.0
2;8;12970430;134.45
3;8;13011152;263.9
4;8;13046291;509.0
5;8;13004503;575.21
6;8;13064674;767.79
7;8;13030980;1026.6
8;8;13030827;1286.07
9;8;13081867;1281.07
10;8;13061691;1544.24
11;8;13063301;1828.04
12;8;13067647;2156.15
13;8;13071547;2834.66
14;8;13075362;3253.64
15;8;13081894;3666.76
16;8;13086408;4751.85
17;8;13088394;6417.14
18;8;13076685;7381.21
19;8;13077174;6549.64
20;8;13060414;7182.51
1;13;12953951;115.0
2;13;13001985;338.29
3;13;13028470;599.0
4;13;13059197;957.85
5;13;13021049;1252.33
6;13;13079164;1744.95
7;13;13045264;2202.03
8;13;13052748;3135.99
9;13;13098544;3523.05
10;13;13078075;5013.43
11;13;13087758;5996.47
12;13;13081476;6864.23
14;13;13112807;8158.91
15;13;13120156;9911.56
16;13;13123705;12098.41
17;13;13113705;13051.12
18;13;13112305;14922.53
19;13;13071974;16624.62
20;13;13112743;17807.78
1;15;12968305;126.33
2;15;13016434;353.82
3;15;13040472;780.29
4;15;13071117;1236.69
5;15;13028564;1621.82
6;15;13033735;2089.56
7;15;13057991;3260.54
8;15;13054137;4071.46
9;15;13098036;4659.68
10;15;13100670;5674.36
11;15;13104774;7567.53
12;15;13089105;9155.43
13;15;13121830;10284.03
14;15;13123335;11230.54
15;15;13134482;14150.19
16;15;13135663;14932.06
17;15;13126219;18006.64
18;15;13128836;19204.68
