QntsIndividuos;QntsImgsPorIndividuo;TamMedArquivoGerado;TempMedExecução
2;8;2799047;68.14
3;8;2835635;126.47
4;8;2850346;201.62
5;8;2848367;240.36
6;8;2858963;332.43
7;8;2867353;426.29
8;8;2873765;582.16
9;8;2875369;670.78
10;8;2874649;772.25
11;8;2875747;850.9
12;8;2882014;1081.4
13;8;2880269;1179.12
14;8;2884098;1366.07
15;8;2888212;1577.31
16;8;2883809;1801.34
17;8;2893242;2008.82
18;8;2891037;2205.85
19;8;2892226;3910.43
20;8;2892416;3708.55
2;13;2830447;161.17
3;13;2852180;291.06
4;13;2867107;502.93
5;13;2879505;590.93
6;13;2873077;835.69
7;13;2882301;1101.43
8;13;2882865;1484.45
9;13;2892723;1843.43
10;13;2885958;2264.95
11;13;2888054;2705.24
12;13;2891991;3049.72
13;13;2896931;3620.1
14;13;2899251;4010.41
15;13;2900335;4071.53
16;13;2902804;4474.94
17;13;2906315;5016.52
18;13;2908027;5733.72
19;13;2904688;6318.7
20;13;2907407;7064.92
2;15;2852181;150.74
3;15;2849864;297.78
4;15;2873250;500.1
5;15;2868956;620.43
6;15;2885042;865.69
7;15;2888705;1216.5
8;15;2887726;1667.81
9;15;2890407;2219.07
10;15;2888826;2367.83
11;15;2891117;2652.59
12;15;2898975;3407.53
13;15;2899828;31065.26
14;15;2901996;4783.72
15;15;2900064;5638.63
16;15;2906365;6629.47
17;15;2905916;7625.19
18;15;2908555;8673.66
19;15;2912506;10347.65
20;15;2912684;11820.16
