QntsIndividuos;QntsImgsPorIndividuo;TamMedArquivoGerado;TempMedExecução
1;8;33418;14.35
2;8;66569;26.27
3;8;99756;39.49
4;8;132932;49.97
5;8;166056;63.05
6;8;199243;74.35
7;8;232419;87.04
8;8;265606;99.39
9;8;298782;112.04
10;8;331966;124.37
11;8;365161;135.95
12;8;398345;148.69
13;8;431541;161.95
14;8;464725;173.43
15;8;497920;186.99
16;8;531104;201.03
17;8;564299;213.58
18;8;597483;224.31
19;8;630678;237.29
20;8;663862;258.27
1;13;54154;22.03
2;13;108012;40.33
3;13;161923;59.64
4;13;215845;79.67
5;13;269663;101.02
6;13;323574;120.86
7;13;377496;147.35
8;13;431408;167.94
9;13;485252;204.63
10;13;539187;202.32
11;13;593122;221.96
12;13;647057;248.72
13;13;700981;261.65
14;13;754916;282.45
15;13;808851;304.24
16;13;862786;325.55
17;13;916721;360.29
18;13;970645;372.32
19;13;1024580;393.52
20;13;1078515;406.78
1;15;62448;23.47
2;15;124574;47.07
3;15;186790;69.31
4;15;248969;91.95
5;15;311107;116.16
6;15;373323;138.73
7;15;435540;163.11
8;15;497745;190.26
9;15;559857;209.1
10;15;622088;231.33
11;15;684229;258.25
12;15;746434;279.13
13;15;808665;302.85
14;15;870896;325.83
15;15;933127;364.87
16;15;995358;375.47
17;15;1057578;401.11
18;15;1119809;423.29
19;15;1182040;443.87
20;15;1244271;467.77
